1.370	-3.281	-10655.751
2.721	-3.225	-10674.431
2.606	-2.367	-10676.421
2.009	-0.197	-10680.786
1.159	1.150	-10688.331
2.166	3.065	-10699.098
4.322	3.655	-10715.785
4.886	4.307	-10721.290
5.292	4.872	-10718.729
5.727	3.884	-10714.981
5.659	3.645	-10712.162
4.673	2.404	-10711.540
3.608	1.874	-10709.265
3.308	1.380	-10707.929
1.085	0.798	-10680.686
0.136	0.002	-10677.544
-0.964	-0.537	-10678.623
-1.006	-1.390	-10680.582
1.295	-0.401	-10703.636
0.500	1.097	-10707.560
-0.617	1.621	-10696.392
-1.199	1.100	-10683.564
-1.870	1.369	-10689.361
-1.340	2.483	-10690.594
-0.818	3.046	-10695.809
0.208	1.425	-10707.293
1.423	0.915	-10716.930
1.153	-0.239	-10699.840
0.965	-0.802	-10691.601
0.368	-0.913	-10683.007
0.963	-0.582	-10688.782
0.995	0.130	-10686.911
1.009	1.218	-10685.444
0.515	2.000	-10681.997
0.384	2.678	-10685.166
0.078	2.646	-10684.272
0.582	1.377	-10692.303
1.754	0.914	-10700.977
1.285	0.601	-10687.064
2.025	-0.001	-10693.352
1.903	0.455	-10692.388
2.483	1.214	-10698.694
3.150	0.783	-10701.629
2.023	3.275	-10693.021
2.256	4.408	-10702.119
2.186	3.507	-10705.890
0.422	3.763	-10697.659
0.044	3.843	-10712.019
0.708	3.735	-10727.343
-0.014	3.179	-10721.492
-1.685	3.456	-10713.993
-2.699	2.261	-10713.882
-3.109	1.527	-10708.262
-2.455	1.675	-10711.776
-2.300	2.843	-10715.067
-2.504	2.159	-10711.571
-0.752	-0.338	-10724.345
-0.382	-1.738	-10732.605
-1.006	-2.993	-10728.201
-1.757	-3.755	-10721.128
-1.372	-4.044	-10731.192
-0.792	-2.924	-10744.359
-0.463	-3.855	-10748.646
-1.011	-3.165	-10738.942
-1.695	-2.135	-10730.290
-1.793	-0.831	-10737.321
-2.139	-0.603	-10733.718
-2.130	-0.440	-10734.121
-0.978	-2.758	-10741.271
-1.183	-1.101	-10742.229
0.018	1.864	-10761.178
0.378	3.427	-10762.674
1.913	3.491	-10771.736
2.621	3.072	-10769.058
